id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
82523639,2025-12-10T11:55:49.000Z,5200000,5290,₹,"10.77458311,78.66430067",,720,,1,2,East,4,Trichy,2,"Trichy, Tamil Nadu",983,,12800,
75041233,2026-01-06T14:12:41.000Z,3600000,2000,₹,"10.9229564,78.7405357",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
83461017,2026-03-10T23:37:30.000Z,6200000,5391,₹,"10.866199,78.639583",,950,,1,2,East,,Trichy,2,"Trichy, Tamil Nadu",1150,,12800,
82237079,2025-11-19T15:17:15.000Z,1380000,1150,₹,"10.81577,78.63699",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83202563,2026-02-01T03:04:04.000Z,1950000,1300,₹,"10.728375,78.557868",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83452983,2026-02-18T05:25:08.000Z,718800,599,₹,"10.67986,78.590065",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83654809,2026-03-05T18:52:51.000Z,74500000,12912,₹,"10.7574385,78.6910413",,5788,,3,5,East,,Trichy,5,"Trichy, Tamil Nadu",5770,,12800,
83032943,2026-01-19T06:45:09.000Z,3000000,278,₹,,,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
82778337,2026-02-19T23:37:02.000Z,9600000,4800,₹,"10.783143,78.676025",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
80409089,2025-11-21T21:30:42.000Z,2520000,2100,₹,"10.703275,78.62017",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
80413199,2025-11-21T21:30:40.000Z,6500000,7576,₹,"10.7866667,78.6708333",,858,,2,2,East,3,Trichy,2,"Trichy, Tamil Nadu",858,,12800,
72687991,2026-03-04T23:37:21.000Z,8600000,2205,₹,"10.854743,78.667577",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
81794659,2026-02-18T21:30:35.000Z,5800000,,₹,"10.81577,78.63699",,850,,,2,,1,Trichy,2,"Trichy, Tamil Nadu",,,,
64625739,2026-01-29T21:33:06.000Z,2000000,,₹,"10.909113,78.699475",,488,,1,1,,2,Trichy,1,"Trichy, Tamil Nadu",,,,
82175639,2025-11-15T05:19:33.000Z,3000000,2500,₹,"10.737967,78.633667",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83541267,2026-02-24T17:17:47.000Z,12800000,5517,₹,"10.7574385,78.6910413",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
82325549,2025-11-27T01:56:12.000Z,15000000,3750,₹,"10.784800866307386,78.74118131460159",,3600,,4,4,South,,Trichy,4,"Trichy, Tamil Nadu",4000,,12800,
73661409,2025-12-16T06:24:45.000Z,7200000,3000,₹,"10.81807,78.65937",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83130009,2026-01-26T10:50:09.000Z,17500000,5147,₹,,,3400,,,10,East,,Trichy,,"Trichy, Tamil Nadu",3400,,12800,
50042894,2025-12-18T08:27:06.000Z,1800000,3303,₹,"10.6031099,78.55069",,355,,,2,South,3,Trichy,2,"Trichy, Tamil Nadu",545,,12800,
77256369,2026-02-06T06:51:34.000Z,1050000,875,₹,"10.7489771,78.6472392",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
77186439,2026-01-04T05:24:49.000Z,1020000,850,₹,"10.7489771,78.6472392",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
82622653,2026-03-01T23:48:41.000Z,7500000,4167,₹,"10.72670453,78.69499098",,1000,,1,3,North,,Trichy,2,"Trichy, Tamil Nadu",1800,,12800,
83598313,2026-02-28T14:37:34.000Z,1978800,1200,₹,"10.7154018,78.6838373",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
70855889,2025-11-11T21:33:31.000Z,930000,1550,₹,"10.7520708,78.8279879",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
82873899,2026-01-07T06:20:41.000Z,700000,583,₹,"10.64311,78.58801",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
82593899,2025-12-16T03:26:15.000Z,3000000,278,₹,"10.737967,78.633667",,,12800,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
