City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,tutor_fee,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,education_index,cost_of_living_index,cluster
Lucknow,91.245,14.53488372,600.0,105.01798340843322,5058.0,100.0,230.0,6.5,483.7675606641124,49.4379826018962,105.01798340843322,72.6744186,60.0,162.5,80.0,58.97435897435898,89.7399163924155,80.41,2
Erode,97.115,18.90873016,150.0,119.65011978327986,4583.0,100.0,165.0,4.5,341.2258064516129,44.79523018277784,119.65011978327986,94.5436508,15.0,112.5,80.0,42.30769230769231,63.2981163513015,80.35,0
Chandigarh,88.36,17.03125,500.0,102.51663716267124,5398.0,100.0,230.0,4.5,523.8908819133035,52.76121591242303,102.51663716267124,85.15625,50.0,112.5,80.0,58.97435897435898,97.18287823414268,80.16,2
Aurangabad,98.42,13.42105263,375.0,105.68077855036226,4848.0,125.0,245.0,7.5,491.52777777777777,47.38539732186492,105.68077855036226,67.10526315,37.5,187.5,100.0,62.82051282051282,91.17945325183472,79.87,2
Visakhapatnam,102.275,20.75,600.0,105.68077855036226,4550.0,100.0,177.0,3.0,476.2150537634408,44.47268106734435,105.68077855036226,103.75,60.0,75.0,80.0,45.38461538461539,88.3389102214168,79.52,2
Kochi,105.75,18.36956522,300.0,105.68077855036226,5171.0,100.0,190.0,6.5,332.78433889602053,50.54246896686541,105.68077855036226,91.8478261,30.0,162.5,80.0,48.71794871794872,61.73220607896284,79.24,0
Kanpur,90.965,16.75675676,275.0,105.68077855036226,4853.0,100.0,220.0,6.5,492.4243421052632,47.43426839996091,105.68077855036226,83.7837838,27.500000000000004,162.5,80.0,56.41025641025641,91.3457678506857,79.21,2
Asansol,94.955,15.90909091,400.0,121.7848922506832,3177.0,100.0,250.0,5.5,363.0,31.052683022187477,121.7848922506832,79.54545454999999,40.0,137.5,80.0,64.1025641025641,67.33727578948722,78.39,0
Vadodara,91.985,16.76470588,300.0,114.87467797872516,3231.0,125.0,240.0,5.2,475.6024096385542,31.580490665624083,114.87467797872516,83.82352940000001,30.0,130.0,100.0,61.53846153846154,88.22526342693112,77.82,2
Madurai,97.32,18.18181818,400.0,104.04131131204298,5000.0,125.0,60.0,4.5,349.4449244060475,48.8710780959828,104.04131131204298,90.9090909,40.0,112.5,100.0,15.384615384615383,64.82278029742847,77.63,0
Meerut,91.02,18.90873016,400.0,100.95432043884678,4138.0,124.5,215.0,6.5,432.66,40.44570423223536,100.95432043884678,94.5436508,40.0,162.5,99.6,55.12820512820513,80.25935466413097,77.6,2
