address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Coimbatore, Tamil Nadu",3,1650,,,"11.0614297587325,77.015347146857",12750000,
"Coimbatore, Tamil Nadu",2,,,,"11.023934,77.14931",3250000,2955
"Coimbatore, Tamil Nadu",2,600,,,"11.023934,77.14931",1770000,
"Coimbatore, Tamil Nadu",2,700,,,"11.08614915,76.99782425",4500000,3750
"Coimbatore, Tamil Nadu",2,,,4,"11.0393339,76.9787076",6500000,5122
"Coimbatore, Tamil Nadu",3,1350,,1,"10.9869107,76.9385591",10000000,7407
"Coimbatore, Tamil Nadu",3,1090,,4,"10.9942446,77.0040861",6500000,5963
"Coimbatore, Tamil Nadu",2,1050,,,"11.044905,77.0775426",6900000,3136
"Coimbatore, Tamil Nadu",2,450,,5,"11.06612,76.95055",5500000,8527
"Coimbatore, Tamil Nadu",2,,,,"10.9692359,76.9149474",6500000,3806
"Coimbatore, Tamil Nadu",2,,,,"11.0379249,76.9304557",4900000,3267
"Coimbatore, Tamil Nadu",3,,,,"11.0379249,76.9304557",4280000,2952
"Coimbatore, Tamil Nadu",2,816,,3,"11.024999,76.9038011",5800000,6332
"Coimbatore, Tamil Nadu",2,,,5,"11.072868,77.0175832",7000000,7786
"Coimbatore, Tamil Nadu",2,1215,,4,"11.08614915,76.99782425",5800000,4296
"Coimbatore, Tamil Nadu",3,,,4,,8500000,5667
"Coimbatore, Tamil Nadu",3,1099,,3,"11.024174,76.921613",6500000,4646
"Coimbatore, Tamil Nadu",2,750,,4,"11.16355,76.94828",5600000,6512
"Coimbatore, Tamil Nadu",3,,,4,"11.024999,76.9038011",5500000,5203
"Coimbatore, Tamil Nadu",2,,,,"11.151193,76.9383985",3450000,3833
"Coimbatore, Tamil Nadu",2,2,,,"11.2405,76.957718",4500000,4737
"Coimbatore, Tamil Nadu",3,,,5,"11.0393339,76.9787076",7500000,5769
"Coimbatore, Tamil Nadu",3,,,2,"11.08614915,76.99782425",8500000,4533
"Coimbatore, Tamil Nadu",3,1600,,,"11.1167,77.1833",7000000,4118
"Coimbatore, Tamil Nadu",3,350,,6,"10.9935456,76.9320765",10200000,10737
"Coimbatore, Tamil Nadu",2,725,,2,"11.06678,76.9753924",4500000,5000
"Coimbatore, Tamil Nadu",2,825,,,"11.2405,76.957718",3800000,4606
"Coimbatore, Tamil Nadu",2,,,,"11.002659,76.8911921",39000000,6605
"Coimbatore, Tamil Nadu",3,,,4,"11.08614915,76.99782425",2800000,1739
"Coimbatore, Tamil Nadu",2,,,,"11.024999,76.9038011",17500000,11937
"Coimbatore, Tamil Nadu",2,,,2,"10.9006579,76.942698",5000000,5000
"Coimbatore, Tamil Nadu",3,1608,,4,"10.982418122087026,77.01641222170478",13500000,8167
"Coimbatore, Tamil Nadu",3,,,7,"11.0067296,76.9131669",6500000,4643
"Coimbatore, Tamil Nadu",3,,,,"10.6572737,77.0106693",6500000,4483
"Coimbatore, Tamil Nadu",3,2400,,1,"11.0987904,76.9389496",11000000,
"Coimbatore, Tamil Nadu",2,700,,3,,6200000,7193
"Coimbatore, Tamil Nadu",3,1800,,,"11.024999,76.9038011",12500000,5208
"Coimbatore, Tamil Nadu",2,,,,"11.024999,76.9038011",9000000,6923
"Coimbatore, Tamil Nadu",2,,,4,"11.0781549,76.8850673",12500000,10000
"Coimbatore, Tamil Nadu",2,950,,,"10.8181101,77.0079589",2800000,2642
"Coimbatore, Tamil Nadu",2,1000,,,"10.9006579,76.942698",5500000,5500
"Coimbatore, Tamil Nadu",3,2329,,4,"11.0514611,77.0348573",13500000,
