address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Kolkata, West Bengal",2,850,,5,"22.5103211,88.3456255",8700000,8208
"Kolkata, West Bengal",2,,,14,"22.452025,88.3011729",5500000,6173
"Kolkata, West Bengal",3,1436,,19,"22.6322091416971,88.4501774973632",18000000,
"Kolkata, West Bengal",3,1100,,7,"22.6283508159936,88.4311044569598",9000000,6429
"Kolkata, West Bengal",3,1000,,5,"22.72819587,88.46926582",4200000,3500
"Kolkata, West Bengal",3,,,27,"22.4975408050019,88.3500407147192",38500000,17907
"Kolkata, West Bengal",2,656,,13,"22.7026190782896,88.374734925341",4200000,5122
"Kolkata, West Bengal",2,850,,19,"22.6235801,88.3788415",8200000,7489
"Kolkata, West Bengal",3,850,,5,"22.5827318474551,88.46546911711",9000000,7200
"Kolkata, West Bengal",3,1100,,6,"22.592248,88.2790575",5600000,4073
"Kolkata, West Bengal",3,1080,,3,"22.4739768,88.3678436",6300000,
"Kolkata, West Bengal",3,850,,19,"22.4975408050019,88.3500407147192",18500000,16803
"Kolkata, West Bengal",3,850,,12,"22.6911425370566,88.4760379308133",7500000,7123
"Kolkata, West Bengal",2,502,,12,"22.6322091416971,88.4501774973632",5000000,6510
"Kolkata, West Bengal",3,880,,3,"22.5174308,88.3662044",14000000,12727
"Kolkata, West Bengal",2,,,14,"22.511135,88.24616",3100000,4354
"Kolkata, West Bengal",2,560,,4,"22.6211987414497,88.4179649158646",3000000,3922
"Kolkata, West Bengal",2,,,4,"22.5037495,88.405559",4800000,5926
"Kolkata, West Bengal",2,733,,5,"22.58257046,88.44275492",4500000,4907
"Kolkata, West Bengal",2,,,12,"22.5913323,88.4821379",6200000,7939
"Kolkata, West Bengal",3,,,15,"22.511135,88.24616",4400000,3291
"Kolkata, West Bengal",3,1300,,5,"22.6911425370566,88.4760379308133",6200000,4133
"Kolkata, West Bengal",3,1250,,3,"22.545143,88.32384335",5800000,
"Kolkata, West Bengal",2,633,,4,"22.5138115,88.369115",5000000,6313
"Kolkata, West Bengal",2,,,6,"22.6078727044164,88.4054603241258",9000000,8249
"Kolkata, West Bengal",2,,,23,"22.603519,88.448385",6800000,6996
"Kolkata, West Bengal",3,980,,4,"22.4895506,88.4210895",7500000,6329
"Kolkata, West Bengal",3,950,,3,"22.5037495,88.405559",7500000,5593
"Kolkata, West Bengal",2,733,,9,"22.4975408050019,88.3500407147192",5050000,5465
