id,posted_date,price,price_per_sq_ft,currency,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
68195481,2026-03-20T15:25:14.000Z,5000000,4184,₹,,,,2,,14,Kanpur,2,"Kanpur, Uttar Pradesh",1195,,12800,
83276469,2026-03-24T22:30:45.000Z,9000000,4500,₹,1770,,3,3,,5,Kanpur,3,"Kanpur, Uttar Pradesh",2000,,12800,
80915233,2026-01-23T22:30:36.000Z,7500000,5769,₹,1300,,2,2,North - East,4,Kanpur,3,"Kanpur, Uttar Pradesh",1300,,12800,
32524563,2026-03-19T22:30:37.000Z,10000000,7042,₹,1380,,2,2,South,3,Kanpur,2,"Kanpur, Uttar Pradesh",1420,,12800,
82093545,2026-03-21T21:30:37.000Z,10500000,8400,₹,1250,,,2,East,1,Kanpur,2,"Kanpur, Uttar Pradesh",1250,,12800,
62846997,2026-03-20T11:43:10.000Z,10000000,8333,₹,,,,2,East,1,Kanpur,3,"Kanpur, Uttar Pradesh",1200,,12800,
34066193,2026-03-23T22:30:27.000Z,2500000,3226,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",72,,12801,
80869809,2025-12-22T21:30:54.000Z,7000000,4118,₹,1625,,2,3,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1700,,12800,
81559379,2026-03-07T22:30:36.000Z,2900000,3867,₹,,12850,,2,West,,Kanpur,3,"Kanpur, Uttar Pradesh",750,,12800,
53341765,2026-03-24T09:34:48.000Z,3000000,3000,₹,900,,,3,West,1,Kanpur,3,"Kanpur, Uttar Pradesh",1000,,12800,
53107711,2026-03-23T21:32:23.000Z,5200000,4952,₹,1000,,1,2,,3,Kanpur,2,"Kanpur, Uttar Pradesh",1050,,12800,
71936177,2026-02-14T22:30:46.000Z,2100000,3000,₹,,,,2,,2,Kanpur,2,"Kanpur, Uttar Pradesh",700,,12800,
66983047,2026-03-16T22:30:47.000Z,1800000,2000,₹,800,,1,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",900,,12800,
52344341,2026-03-13T23:32:56.000Z,10500000,6562,₹,1350,,3,2,North - West,4,Kanpur,3,"Kanpur, Uttar Pradesh",1600,,12800,
83905225,2026-03-23T05:15:14.000Z,10000000,2002,₹,54,,1,2,South - East,2,Kanpur,2,"Kanpur, Uttar Pradesh",464,,12801,
77599575,2026-03-24T21:32:24.000Z,4800000,,₹,1000,,1,2,West,4,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
82960845,2026-03-19T10:50:34.000Z,27000000,12000,₹,,12850,3,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",250,,12803,
67755291,2026-03-24T06:44:51.000Z,2300000,3042,₹,84,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",84,,12803,
67755285,2026-03-24T06:44:46.000Z,3900000,3040,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1283,,12800,
67755233,2026-03-24T06:43:52.000Z,4980000,3434,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1450,,12800,
74510489,2026-03-20T02:55:03.000Z,1250000,3871,₹,,,,1,,4,Kanpur,2,"Kanpur, Uttar Pradesh",30,,12801,
79731501,2026-03-21T23:34:05.000Z,3700000,3700,₹,912,,1,2,East,5,Kanpur,3,"Kanpur, Uttar Pradesh",1000,,12800,
60309811,2026-03-12T16:46:08.000Z,2100000,2333,₹,,,,1,,1,Kanpur,3,"Kanpur, Uttar Pradesh",100,,12803,
67936465,2026-03-26T10:52:50.000Z,3500000,5000,₹,,,,2,,5,Kanpur,2,"Kanpur, Uttar Pradesh",700,,12800,
67936449,2026-03-26T10:52:41.000Z,5000000,3906,₹,,,,3,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1280,,12800,
67936447,2026-03-26T10:52:40.000Z,7100000,5071,₹,,,,2,,7,Kanpur,3,"Kanpur, Uttar Pradesh",1400,,12800,
67936439,2026-03-26T10:52:35.000Z,5500000,3846,₹,,,,2,,3,Kanpur,3,"Kanpur, Uttar Pradesh",1430,,12800,
67936431,2026-03-26T10:52:30.000Z,3000000,3000,₹,,,,2,,3,Kanpur,2,"Kanpur, Uttar Pradesh",1000,,12800,
67935923,2026-03-26T10:47:43.000Z,10000000,5000,₹,,,,4,,,Kanpur,3,"Kanpur, Uttar Pradesh",2000,,12800,
67935919,2026-03-26T10:47:40.000Z,10000000,11111,₹,,,,1,,,Kanpur,3,"Kanpur, Uttar Pradesh",100,,12803,
67938273,2026-03-26T11:11:43.000Z,4800000,4364,₹,,,,2,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1100,,12800,
67938237,2026-03-26T11:11:14.000Z,2000000,2500,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",800,,12800,
67945733,2026-03-26T13:09:19.000Z,2300000,3453,₹,,,,2,,5,Kanpur,2,"Kanpur, Uttar Pradesh",666,,12800,
67945743,2026-03-26T13:09:36.000Z,10000000,597,₹,,12852,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
67950237,2026-03-26T15:01:41.000Z,7500000,7500,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",1000,,12800,
67950221,2026-03-26T15:01:21.000Z,5500000,6111,₹,,,,1,,,Kanpur,3,"Kanpur, Uttar Pradesh",900,,12800,
61442627,2026-03-26T14:30:13.000Z,7000000,4667,₹,1500,,2,3,,2,Kanpur,3,"Kanpur, Uttar Pradesh",1500,,12800,
75457083,2026-03-26T11:26:09.000Z,7000000,7778,₹,,,,2,,1,Kanpur,3,"Kanpur, Uttar Pradesh",100,,12803,
38730541,2026-03-25T22:30:41.000Z,3199999,0,₹,,12800,2,2,North - West,2,Kanpur,3,"Kanpur, Uttar Pradesh",910,,12810,
